Title,Description,Location,Min Education,Min Experience
Senior Software Developer (.Net)  ,"The Division As an operating group of Constellation Software Inc. - Perseus Operating Group , our cumulative experience from acquiring and operating hundreds of software companies has informed our opinion that a long-term orientation is necessary to build an enduring software business. Our investment strategy embodies this philosophy — we buy software businesses that we want to own forever. The Position: Perseus Operating Group, a division of Constellation Software Inc. is seeking an application developer to be responsible for application development of assigned projects and enhancement/maintenance of existing applications. Roles and Responsibilities: Code modules from detailed or high-level design requirements. Effectively communicate specific build requirements and considerations. Ensure complete documentation of all project activities. Create and implement unit test plans. Enhance and maintain applications. Provide product support by identifying and resolving bugs. Flexibility to work irregular hours until 11:00 PM PKT time zone. Ability to work within a diverse geographically-distributed team. Highly self-motivated and directed, with keen attention to detail. Able to sit at a computer workstation for extended time periods as required to complete daily assigned tasks. Required Skills: Bachelor's degree in computer science or related field. 7+ years of system programming/analysis experience, demonstrating the ability to analyze and solve problems within the application and/or database. Proficiency in .NET Framework, .NET Core, and C# programming language. Strong knowledge of ASP.NET MVC, Web forms, MS Blazor, Web API, and Entity Framework. Knowledge of DevOps methodologies and practices such as continuous integration, continuous delivery, and automated testing. Knowledge of security best practices for web applications. Full SDLC exposure. Experience in front-end development with HTML, CSS, JSON, JavaScript, and JavaScript frameworks such as Angular, React, or Vue.js. Knowledge of PowerShell scripting and experience automating tasks and workflows using PowerShell. Familiarity with using MS TFS and Azure logic and function apps. Knowledge of MS SQL technology and T/SQL including database design principles. Familiarity with automated testing tools such as MS Test, NUnit, or other. Collaborative and adaptable team player. Ability to take initiative and make suggestions for improvement. Flexible, dependable, and committed to quality work. Excellent communication skills. Nice to Have: Familiarity with TDD Familiarity with Infor CRM Familiarity with GIT Mobile development Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,6 Years - 8 Years
Senior SQA Analyst  ,"The Division: RBRO Solutions is a software company who provides best of breed products to the legal and corporate legal markets. Come work with a modern agile team working with the latest and greatest technologies to ensure that we continue to innovate and remain as one of the top companies in our industry. We are passionate about serving our customers all around the globe with the best technology possible. The successful candidate will be held to a high standard of quality and delivery. We believe in holding our Quality Assurance team to high standards while leaving them flexibility to make quality decisions while leaving time for personal lives, and some fun along the way! Our Core Values are Innovation, Experience, Excellence, Partnership, Balance, Integrity, Diversity & Gratitude The Position: The Senior Software Quality Assurance (SQA) is an important role in the Product Development department. This individual is a member of the Product & Quality team which seeks to achieve a deep understanding of RBRO's current and future product offerings and ensures that high value quality products are delivered. This individual will be held accountable for directly ensuring the quality of our software as well as the overall process, including actively contributing and driving continuous improvement initiatives. S/he will report to the Product & Quality Manager The selected candidate will work from Contour Software Lahore office, as part of the resource-center team, as an extension of the division-based R&D department. Job Qualifications & Skills Bachelor's or Master's degree in Computer Science, Computer Engineering or equivalent; 8+ years of progressive experience in Quality Assurance. More experienced persons can be considered for Sr. SQA Analyst - Team Lead. Experience with test management software such as Azure DevOps Test Plans Experience working on complex software projects Demonstrated knowledge of: Testing best practices Version control practices Defect management practices. Team Lead candidates should have at least recent 2-3 years of experience in QA team management. Good of knowledge of SQL for building different data scenarios and verification. Knowledge of CI/CD tools such as Jenkins, MS Azure DevOPs is a plus. Understanding of Cucumber framework is an asset. Hands-on experience in creating feature files in Gherkin will be preferred. Excellent English communication and interpersonal skills. Good understanding of SDLC and of Agile/Scrum software development process. Excellent organizational, attention to detail, analytical and investigation skills. Document and manage test cases and change requests. Full understanding of the SDLC with a strong grip on agile methodologies. Good planning, organization, and task management skills. Automation experience with Selenium, or TestComplete is desirable. Role and Responsibilities: Assist in planning and coordinating work for the assigned product team Provide insight on the Quality Assurance processes Highly approachable by team members at all levels and provides advice and guidance in a positive and respectful manner Deliver high quality, efficient test plans using prescribed specifications Ensures that company standards, concepts, practices, and procedures are followed Model excellence in attitude and approach to work items and inspire confidence among peers Ensure you are approachable by team members at all levels, providing advice and guidance in a positive and respectful manner Work with Developers and Product Owners to review and clarify requirements Test software applications of varying complexity using automation as much as possible Lead the continuous improvement of our testing strategy and execution Ensure intimate knowledge of all technical details of the work the QA team is doing and act as a liaison between the QA Analysts and the Management team Preparing Test automation scripts using feature files in Gherkin. Keep up to date with latest technologies and recommend training/direction of the overall team Perform other duties as assigned Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,8 Years - 12 Years
SQA Analyst  ,"The Division: Constellation HomeBuilder Systems (a division of Constellation Software Inc) is the largest provider of tailored homebuilding software and website solutions in North America. TouchPoint, a product of Constellation Homebuilder Systems, is designed for Vendors and Suppliers working on site and at office to perform their day-to-day operations. The application integrates with our core ERPs to pull the data and show it to the users. The mobile application is available for Android, iPhone and Windows Phones. The Position: We are seeking to hire a SQA Analyst, with hands on experience and expertise in manual testing mobile applications and web application, to help ensure high quality and timely delivery of releases. Working out of the Contour Software Karachi office, the successful hire will collaborate with team members located in the same office as well as those located in North America. Job Qualifications/Requirements: University degree in Computer Science, Information Systems or related discipline or equivalent industry experience. 3+ Years of Professional Testing Experience with customer-facing enterprise applications and mobile applications. Knowledge of web-based technologies like HTML, CSS, XML, JavaScript, .NET Framework, etc. Hands on experience with manual testing, by applying various testing techniques including functional, regression, integration, UI etc. Hand on experience with managing and maintaining test documentation, test cases, test matrices etc. Hand on experience with Mobile testing. Knowledge of Azure DevOps / Microsoft Test Manager would be an asset. Hands-on familiarity with SQL query language and relational databases. Strong ability to understand business processes/logic and think outside the box for testing applications. Excellent verbal and written communication skills. Ability to escalate issues to the relevant teams in a timely manner. Ability to perform comfortably in a fast-paced, deadline-oriented work environment. Ability to work with minimal supervision. Good to have knowledge on automation tools like, TestComplete, Selenium etc. Key Competencies: Attention to detail Problem analysis and problem-solving Planning and organizing Judgment Decision-making Teamwork Ability to think and work independently Energetic and a ""can-do” attitude Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility [Karachi & Lahore only] Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games [Karachi & Lahore only] Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Bachelors,3 Years
Senior Software Developer  ,"THE DIVISION AMT-SYBEX has been providing business critical solutions to customers in the energy, utilities and transport sectors for over 20 years. We deliver scalable and reliable transactional, data handling and analytics solutions to energy sector clients, plus EAM and Mobile Field Workforce solutions to a range of asset-centric companies. We operate a number of independent Business Units: Leasepoint – Aviation Leasing solutions Flow – Energy solutions Enterprise Asset Management and Mobile As part the Jonas Group of companies, we offer excellent opportunities for progression throughout UK and globally. POSITION: Reporting to the Technical Project Manager, we are looking for a hands-on senior developer, who will inspire and collaborate with team to ensure the effective design, development, testing and release and maintenance of our products. Adopting agile methodology, encourage continuous improvement of our products, toolsets and processes. The ideal fit for the company is a personable Developer with at least four years of experience. The team work with modern tech and promote software development best practices so they are keen for Developers that can produce clean quality code. The chosen individual will work out of the Contour Software Lahore resource center office, as an extension of the division-based R&D department. JOB RESPONSIBILITIES: Accountable for ensuring the completion of User Stories are in line with the sprint schedule Report to the TPM on progress towards overall running Projects Liaise with the Product Owner on progress Responsible for ensuring the development meets expected company standards (e.g., development documentation standards) Assigning tasks to junior developers such as coding, testing, debugging, and analytics. Conducting feasibility studies for upgraded software systems. Working with offshore and onshore delivery teams Maintaining and supporting Flow products and improving the performance of existing software Work collaboratively with test teams agreeing test cases JOB QUALIFICATIONS: Essential: A Bachelors or Masters degree in Computer Science / Software Engineering or an equivalent qualification in another technical field. Knowledge of Enterprise Java/Scala technology stacks Development of high-performance code in Java in a multi-core environment Minimum four years development experience Personable with the ability to build effective working relationships with team members Experience with Scala, or other functional programming paradigm Candidates with no prior experience on Scala must be willing to learn Desirable: Awareness of Agile/Scrum and Waterfall, Test-Driven Development (TDD) Websphere development Familiarity with some of the following frameworks/specification: JAX-WS, JDBC, EJB3, JMS, Spring, Hibernate. Exposure to one or more of the following application server systems: WebSphere, JBOSS, Weblogic, NetWeaver. Exposure to one or more of the following RDBMS: Oracle, SQL Server, PostgreSQL. Experience of code management using git Experience with Azure DevOps. Experience with Maven build automation tooling Your Personal Characteristics will include: Results driven and self-motivated with a ""can-do” attitude and determination to get software deployed Ability to support/coach developers both onshore and offshore Both willing and keen to learn new technologies Self-motivated and works well under pressure Strong problem-solving skills and ability to suggest technical solutions to problems where required Ability to work independently with little supervision Good listening and communication skills (oral and written) Strong technical, quantitative, and analytical skills. The ability to take ownership and deliver results Good team player, yet willing to take personal responsibility for resolution of issues Be energetic, motivated, and enthusiastic COMPETENCIES: Process Management Dealing with Ambiguity Creativity Problem Solving Technical Learning Decision Quality Priority Setting Developing Direct Reports and Others Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Null,4 Years - 8 Years
Senior Software Developer  ,"The Division: Recognized by Gartner as a ""Vendor to Watch, CAKE (a division of Constellation Software Inc.), is a high-growth organization that delivers powerful SaaS-based solutions for advertisers looking to take full advantage of digital marketing opportunities. We leverage bleeding-edge technologies on a global infrastructure to empower our clients with the ability to track and analyze the massive amounts of data generated from multiple channels including search, social, mobile, affiliate, video, and more. The goal of CAKE is to solidify and grow our client base through the cooperative efforts of employees at all levels. To help us achieve this goal, we promote continuing professional development to serve the needs of our employees and the growth we are building together. By working together, increasing efficiencies, and focusing on quality and profitability, we will prosper in any economic environment. The Position: We are looking for a Senior Software Developer who will be responsible for the design, development, and management of the core business processes and data tier of the CAKE platform's technology stack. This role is an integral part of CAKE's development team and will work closely with key stakeholders, software architects, and leadership in the Technology and Product groups to ensure optimal database standards, performance, and reliability. The selected candidate will use the experience with distributed and/or micro-service architectures to implement high-performance, scalable, and stable code in a distributed architecture, alongside a team of other engineers. The code will be deployed into multi-region cloud infrastructure (currently AWS); will be ephemeral in nature; and will be designed with testability, monitoring, and scalability in mind. Hired candidate will work out of the Contour Software Karachi resource center office, as an extension of the division-based R&D department. Ideal candidate would be willing to working during Pacific Standard Time hours (NIGHT SHIFT), but open to rotate to different time slots quarterly, if needed or desired Primary responsibilities include but not limited to: Participate in the development and engineering of highly distributed systems built on cutting-edge technologies. Willingly adopt new technologies as the needs of the organization mature and develop. Work closely with technical leads and architects to design new systems and maintain existing ones. Assist in both relational and NoSQL database design and development within an ""always available system. Participate in the design and implementation of the business-layer/data pipeline of the platform, using various technologies, such as: goLang, Python, C#, Scala, and/or Java. Tackle full feature implementation from inception to deployment, through the entire software stack (from Front-End to Data-layer). Write code that is functional, elegant and on schedule. Stay current with emerging web technologies and programming best practices and procedures, and help instill that into the culture of CAKE's engineering team. Participate as a full team member in all planning and estimation practices. Be an advocate for, and participate in, Agile Development alongside other engineers. Hold other team members accountable for quality. (e.g. if software is deemed ""code complete but does not meet the requirements, emphasize the need for more or better developer testing.) Clearly and promptly communicate any defects, issues, or concerns with software before, during, and after the development process. Mentor other engineers of all skill levels in technical areas of expertise. Willingly share personal experiences to continually iterate and improve upon corporate development practices. Required Qualifications & Skills: University degree in Computer Science, Information Systems, or related discipline. Strong object-oriented programming and code reusability concepts. 5+ years of enterprise applications development experience. Experience and knowledge of C# and JavaScript/Angular. Excellent proficiency with a preferred technology (below) will be considered in lieu of goLang, with demonstrated ability to learn goLang basics and grasp goLang concepts. Experience with databases, including basic relational database design and writing T-SQL. Experience with developing software utilizing Cloud-Computing providers (AWS desired). Experienced in related web technology skills. Be a puzzle master. Be able to solve the problems thrown at you daily and enjoy it. Ability to work both independently and as a productive and helpful team member. Skill to manage multiple priorities with limited supervision. Accurate documentation skills. Ability to work in a timely manner to meet important deadlines. Excellent written and verbal communication skills. Experience in the following is preferred: NoSQL Technologies (Cassandra, MongoDB, DynamoDB, Redis, etc.) RDS and Redshift DB technologies are nice to have MS SQL, MySQL, Postgres Distributed computing frameworks (Spark, Hadoop, Storm, Kinesis, Kafka, etc.) ReactJS .NET framework (C#) JavaScript (JSON methodology) HTML/XML/YAML Previous experience in a SaaS environment Large/Global server networks/architecture Jira or similar project management tools FreshDesk, ZenDesk or similar support tools. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Bachelors,5 Years
Cloud Systems Administrator  ,"The Division: Freestyle Solutions provides essential order, inventory, and customer management solutions that integrate easily with eCommerce platforms to drive efficiency, productivity, insight, and growth for multichannel retailers. Freestyle Software's proven solutions help small- to medium-sized companies grow faster by automating critical back-office functions to support an expanded eCommerce presence, including multichannel order management; inventory visibility and control across multiple channels; drop ship management; rapid, reliable order fulfillment; customer management; and integration with Magento, BigCommerce, Shopify, eBay, and others. The Position: We are looking for a Cloud Systems Administrator to maintain a reliable, secure, and efficient data communications infrastructure. The ideal candidate will be able to deploy, configure, maintain and monitor all active server instances and their network in order to ensure smooth operation. Location: Open for LHR, KHI, and ISL. Responsibilities: Setup and configuration of new websites in IIS / Website Panel/SolidCP. Procurement, installation, and maintenance of SSL certificates as they expire. Monitor and install required Windows and Security updates across multiple servers. Work with the technical support team to troubleshoot website loading/performance issues. Set up and configure remote desktop services with remote apps on new Windows Server machines. Administer and troubleshoot issues with the MS-SQL server, including log files and database mirroring configurations. Fully support, configure, maintain and upgrade corporate customer networks and hosted AWS instances. Responsible for the planning, implementation, and cost-effective growth of the AWS cloud infrastructure. Stay current with new technology options and vendor products, evaluating which ones would be a good fit for the company. Install and integrate new instances and applications. Keep an eye out for needed software and security updates Support and administer third-party applications. Ensure network security, connectivity, and reachability. Monitor network performance (availability, utilization, throughput, goodput, and latency) and test for weaknesses. Set up user accounts, permissions, and passwords. Resolve problems reported by the end users. Specify system requirements and design solutions. Research and make recommendations on infrastructure system administration. Implement and manage web application firewalls (WAF) and File Integrity Monitor (FIM) Security scan for PCI compliance including penetration and vulnerability scanning. MoM application backend support for the updates. Monitor server logs for any kind of suspicious activity. Required Skills: BS degree in Computer Science or related field. Ability to organize, prioritize, and monitor several tasks at once. Drive initiative to tackle issues before they escalate. Strong knowledge of Windows Server environments and configuration. Strong Knowledge of Windows Active Directory and DNS Services. Experience of Advance IIS configuration/administration. Hands-on experience in SSL Certificate life cycle management. Experience in Corporate Level Anti-Virus solution deployment and management. Hands-on experience with AWS Cloud services (EC2, EBS, VPC, etc). Knowledge of MS-SQL server, including T-SQL and database mirroring a plus. Knowledge of Microsoft Remote Desktop Services & Remote Apps configuration. PCI Certification / Requirements experience a plus. Hands-on experience in networking, routing and switching. Excellent knowledge of best practices around management, control, and monitoring of server infrastructure preferably with PRTG. Experience with firewalls, Internet VPNs remote implementation, troubleshooting, and problem resolution is desired. Knowledgeable in virtualization technologies Including VMware & Hyper-V Cluster Management. Familiarity with backup and recovery software and methodologies. Great at organizing, prioritizing, and multitasking. Dealing with Ambiguity Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Null,3 Years - 5 Years
Full Stack Developer  ,"The Division Atex , a division of Constellation Software Inc., headquartered in Sweden with offices worldwide, is a leading software company selling solutions for media-rich industries. We develop smart digital solutions that make a measurable difference and enable our customers to streamline operations and optimize their digital strategy. As a global organization, we are committed to helping companies build revenues and reduce costs through products that are increasingly personalized, localized, collaborative, contextually relevant, and available on demand. Atex is a provider of content management, personalization and multi-channel publishing software to the media industry. We are launching a new generation of our software and due to demand, we need to grow our professional services team, delivering our solutions to major media companies worldwide. The Position The division is looking for a Fullstack Developer , to work out of the Contour Software Karachi office, as an extension of the R&D team located Europe. The teams are cross functional and responsible for technology, architecture and quality. Senior developers offer support and knowledge transfer but you are expected to be able to work self-sufficiently. We are looking for individuals with a strong experience in programming and new technologies – Java, JS, NoSQL, Jenkins, HTML5, pair programming, angular-js, OpenStack, Git, Camel, Python are part of your everyday work. Main Responsibilities Architect, develop and deploy customer solutions across several different areas of specialization in line with specifications and according to user needs. Work internally with geographically disperse teams to establish cross departmental co-operation and deliver according to expectations. Support Atex applications and react within the timescales appropriate to the severity of any issue. Ensure excellent service and support levels throughout the existing Atex customer base Build excellent relationships with Atex customers and prospects. Support sales and pre-sales teams with application demonstrations, detailed application or development specifics as well as project planning and approach. Identify projects and initiatives that will continue to provide opportunities for Atex and its customers Accurately estimate project and development delivery along with perceived risks. Accurately document project and application information Deliver specific product training. Speak on behalf of and represent Atex in a professional and positive manner. Education: University degree in Computer Science or related discipline Required Skills: 3+ years of relevant experience. Proven experience in programming Java (J2EE) Proven experience with Web-Technologies and -Frameworks (JavaScript, AngularJS, HTML, RESTful Web-Services) Good understanding of technology including databases (NoSQL, Oracle) and scripting (bash, perl) Must be fluent in English Key competencies Teamwork – Become a valuable part of our team Adaptability – Quickly adapt to different customer-culture, different products, different technology Reliability – Our customers count on us for helping them with their production-critical processes, we never let them down! Problem Solving Stress tolerance – Stay focused, even if the world melts around you. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Null,3 Years - 5 Years
Senior Software Developer  ,"The Division: Jonas Premier Construction provides industry-leading business management and accounting software. The company's fully-integrated solutions provide all of the tools that are needed to increase productivity and improve bottom line requirements. Jonas is a member of the Constellation family of companies. Constellation companies are leading developers of technology solutions for vertical markets in North America, Europe, and Australia. Jonas Software is the valued technology partner of over 8000 customers worldwide in 15 countries. Jonas is headquartered in Canada and also operates offices in the United States, the United Kingdom, and the Caribbean. The Position This Senior Software Developer position is an exciting opportunity for the Construction Division's product development team. You will be working with Azure and various other best-of-breed technologies to contribute to the enhancements and maintenance of an application and also will be required to develop a proof of concept/code for potential new functionality within web applications using various web clients OR JavaScript-based frameworks. You will be expected to participate in internal/cross-team meetings, requirements gathering, scoping, decision making, and technical documentation Timings: Selected candidates must overlap fully with Toronto Business hours. Qualification, Skills, and Competencies: BS degree in Computer Science, Engineering, or other technical field or equivalent experience. 8-10 years of software development experience using c#.Net. Experience working with Single Page applications (SPA) using any UI-based framework. Experience in web development using MVC and working with HTML, JavaScript, and jQuery. Experience working with Microsoft SQL Server 2005 or higher and Object Relational-Modelling, preferably with Entity Framework 4.0 or higher. Experience working with a Source Control management system, preferably Team Foundation Server (TFS) / Visual Studio Team System (VSTS). Must have strong communication skills and in addition, this strong communicator requires a proven ability to articulate ideas. Strong problem-solving abilities with the ability to pick up and adapt to new concepts quickly. Strong ability to follow prescribed development standards and to work as a team player, while also being comfortable working on your own. Experience working with WPF or Silverlight, WCF, SSRS, Azure, or .NET 4.0 or higher & the MVVM design pattern will be a plus. Excellent communication skills. Additional Skills and/or Competencies: Experience with Knockout JS and/or Angular JS. Familiarity with Basic Accounting Principles. Experience developing reports in SQL Server Reporting Services 2008 (SSRS) or similar business reporting solutions such as Crystal Reports. Familiarity with the Construction Industry. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,5 Years - 10 Years
Software Developer (Java)  ,"The Division: Client Corporation, the leading supplier of Business Systems for the heavy equipment dealership market, is building and expanding a team whose focus is on new development working with the latest technologies. Its primary focus is on developing easy to use applications that are self-learnable. They use the following set of technologies: Java, SpringBoot, Grails, Groovy, Hibernate/JPA, VueJS, and Objective C. For data storage and retrieval, they primarily use PostgreSQL server. Client is part of Constellation Software Inc. (CSI) group of companies – publicly traded on the Toronto Stock Exchange under the ticker symbol 'CSU'. The Position: The division is looking for a Senior/Intermediate Java Software Developer to work as part of its team to be responsible for the maintenance and support of the product. Essential Duties and Responsibilities: Partner with other team members to understand, identify and fix product bugs. Provide high level technical support to other team members and customers. Investigate, troubleshoot and resolve issues efficiently and effectively. Make suggestions, refactor and improve the maintainability of the codebase. Solve complex scalability, platform and integration problems Perform code reviews on other team members' code. Maintain effective communication with the software engineers on project limitation, capability, performance requirement and hardware interface changes. Participate in agile planning meetings and stand-up meetings as necessary. Perform other duties as may be assigned by management. The selected individuals will work out of the Contour Software Lahore resource center office, as an extension of the division-based R&D department. Minimum: Required Education and Experience: Bachelor's Degree in Computer Science, Computer Engineering or equivalent technical Degree; or equivalent combination of education and experience. 7+ years of experience developing and maintaining web applications 5+ years of experience with Java 5+ years of experience with relational databases 5+ years of experience with testing a web applications and enterprise software through manual and automated techniques/unit test frameworks 5+ years of experience with JSON, XML, XSD, and XSL 5+ years of experience with developing and maintaining REST based APIs 5+ years of experience with git Required Knowledge, Skills and Abilities: Knowledge of Software Development Life Cycle (SDLC) Knowledge of Agile development methodologies (including Scrum and Kanban) Ability to design software using industry standard technologies Have the ability to perform comfortably in a fast-paced, deadline-oriented work environment Excellent analytical skills High level of initiative with ability to self-manage Strong interpersonal skills with the ability to work both independently and as part of a team Excellent written and verbal communication skills Preferred: Experience with Java 8+ Experience with one or more of the following frameworks: Spring Grails Groovy Hibernate/JPA Apache camel/Integration frameworks Junit/Mockito/Spock Experience with AWS Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,7 Years
Senior Software Developer  ,"The Division RBRO Solutions is a software company that provides best-of-breed products to the legal and corporate legal markets. Come work with a modern agile team working with the latest and greatest technologies to ensure that we continue to innovate and remain one of the top companies in our industry. We are passionate about serving our customers all around the globe with the best technology. The successful candidate will be held to a high standard of quality and delivery. We believe in holding our developers to high standards while leaving them the flexibility to make quality decisions while leaving time for personal lives, and some fun along the way! Our Core Values are: Innovation, Experience, Excellence, Partnership, Balance, Integrity, Diversity & Gratitude Position Description We are looking for a Senior Software Engineer to work out of the Contour Software Lahore resource center office, as an extension of the division-based R&D department. Job Responsibilities The focus of this role will be to join a team of talented .NET and SQL developers creating best-in-class ETL content migration tools. A strong focus for this role will be on optimizing stored procedures in our SQL Server. database, therefore the skills are changed around to reflect a focus on SQL Server, including T-SQL, SQL Query Analyzer, and SQL Profiler. Advanced understanding of performance tuning and optimization for bulk processing of data through a migration process using .NET and SQL in the most efficient ways possible. Some UI changes required in the WinForms front end of the migration tool. Ability to prioritize tasks and deliver results in a timely manner as an individual. The ability to handle multiple demands and competing priorities simultaneously Strong organizational skills and dedication to quality. Must have excellent attention to details. Must be a self-starter and able to work independently on projects. Job Qualifications; General skills and knowledge Strong English-speaking ability. Strong English writing ability. Superior interpersonal, verbal and written communication skills. Excellent analytical, problem solving, and multi-tasking skills. Positive disposition, self-motivated, organized and reliable. Ability to produce quality work in a timely manner. Specialized skills and knowledge: Bachelors degree in computer science, engineering, math, or related area with an equivalent combination of education and experience. REQUIRED Minimum 5 years of working experience with SQL Server T-SQL SQL Query Analyzer SQL Profiler Minimum 3 years' experience of Database indexes and constraints Query tuning Common Table Expressions/CTEs Performance optimization and tuning using query execution plans Database performance reports 3+ years' experience of C# Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,5 Years - 7 Years
